Data,Município ,Campanha,Módulo,Transecto,Parcela,Ponto,Tipo de Parcela,Coordenadas UTM (X),Coordenadas UTM (Y),Ordem,Família,Subfamília,Espécie,Tipo Amostragem,Núm. Ind. (Colônias/Encontros),Núm. ID (campo),Instituição para Tombamento,Tombo,OBS,,,,,,,,,,,,,,
12/09/10,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",1,IB,T1,P4*,2000,Terrestre,8990072,335473,,Termitidae,Syntermitinae,Cornitermes ovatus,,1,3Aa,MZUSP,MZUSP 14623,No solo,,,,,,,,,,,,,,
13/09/10,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",1,IB,T1,P1*,0,Terrestre,8988588,334131,,Termitidae,Syntermitinae,Cornitermes pugnax,,1,1Ab,MZUSP,MZUSP 14579,"Monte de terra na base de babaçu, aparentemente ninho de Cornitermes ou Syntermes",,,,,,,,,,,,,,
13/09/10,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",1,IB,T1,P3*,1000,Terrestre,8989318,334775,,Termitidae,Syntermitinae,Embiratermes neotenicus,,1,3Aa,MZUSP,,"Ninho de aprox. 40cm de latura bem detonado, com Embira e Nasuti",,,,,,,,,,,,,,
13/09/10,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",1,IB,T1,P1*,0,Terrestre,8988588,334131,,Termitidae,Syntermitinae,Syntermes molestus,,1,1Aa,MZUSP,MZUSP 14708,"Monte de terra na base de babaçu, aparentemente ninho de Cornitermes ou Syntermes",,,,,,,,,,,,,,
13/09/10,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",1,IB,T1,P3*,1000,Terrestre,8989318,334775,,Termitidae,Syntermitinae,Syntermes molestus,,1,4Ba,MZUSP,MZUSP 14698,Forrageando no solo,,,,,,,,,,,,,,
13/09/10,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",1,IB,T1,P1*,0,Terrestre,8988588,334131,,Termitidae,Termitinae,Crepititermes verruculosus,,1,1Ae,MZUSP,,"Monte de terra na base de babaçu, aparentemente ninho de Cornitermes ou Syntermes",,,,,,,,,,,,,,
12/09/10,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",1,IB,T1,P4*,2000,Terrestre,8990072,335473,,Termitidae,Termitinae,Cylindrotermes flangiatus,,1,2Ca,MZUSP,,Em graveto caído,,,,,,,,,,,,,,
12/09/10,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",1,IB,T1,P4*,2000,Terrestre,8990072,335473,,Termitidae,Termitinae,Cylindrotermes flangiatus,,1,3Ba,MZUSP,,Graveto e galho caído,,,,,,,,,,,,,,
12/09/10,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",1,IB,T1,P5*,3000,Terrestre,8990791,336211,,Termitidae,Termitinae,Cylindrotermes flangiatus,,1,1Aa,MZUSP,,Cylindrotermes dentro de graveto,,,,,,,,,,,,,,
12/09/10,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",1,IB,T1,P5*,3000,Terrestre,8990791,336211,,Termitidae,Termitinae,Cylindrotermes flangiatus,,1,3Aa,MZUSP,,Cylindrotermes dentro de graveto,,,,,,,,,,,,,,
12/09/10,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",1,IB,T1,P4*,2000,Terrestre,8990072,335473,,Termitidae,Termitinae,Cylindrotermes parvignathus,,1,4Ad,MZUSP,,"Forrageando no solo, logo abaixo de raíz de árvore",,,,,,,,,,,,,,
12/09/10,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",1,IB,T1,P5*,3000,Terrestre,8990791,336211,,Termitidae,Termitinae,Cylindrotermes parvignathus,,1,3Ba,MZUSP,,Cylindrotermes dentro de graveto,,,,,,,,,,,,,,
13/09/10,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",1,IB,T1,P1*,0,Terrestre,8988588,334131,,Termitidae,Termitinae,Neocapritermes opacus,,1,3Aa,MZUSP,,Nasutitermes e Apico em galeria de baixo de tronco e o restante em terra abaixo de tronco,,,,,,,,,,,,,,
12/09/10,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",1,IB,T1,P4*,2000,Terrestre,8990072,335473,,Termitidae,Termitinae,Neocapritermes pumilis,,1,1Bb,MZUSP,,"Bicho em galerias difusas no solo, abaixo de árvore",,,,,,,,,,,,,,
12/09/10,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",1,IB,T1,P4*,2000,Terrestre,8990072,335473,,Termitidae,Termitinae,Neocapritermes talpa,,1,3Ab,MZUSP,,No solo,,,,,,,,,,,,,,
13/09/10,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",1,IB,T1,P2*,500,Terrestre,8988935,334438,,Termitidae,Termitinae,Planicapritermes planiceps,,1,3Aa,MZUSP,,Forrageando no solo,,,,,,,,,,,,,,
12/09/10,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",1,IB,T1,P6*,4000,Terrestre,8991519,336927,,Termitidae,Termitinae,Planicapritermes planiceps,,1,4a,MZUSP,,"Monte de terra com galerias evidentes, aparentemente ninho de Planicapritermes",,,,,,,,,,,,,,
14/01/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",2,IB,T2,P3,1000,Terrestre,8988753,335582,,Rhinotermitidae,,Heterotermes tenuis,,1,3Ba,MZUSP,,Em tronco caído,,,,,,,,,,,,,,
14/01/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",2,IB,T2,P4,2000,Terrestre,8989521,336332,,Termitidae,Nasutitermitinae,Agnathotermes sp. 1,,1,1Aa,MZUSP,,"Em ninho aparentemente abandonado de aproximadamente 2,2m de altura na base de árvore",,,,,,,,,,,,,,
14/01/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",2,IB,T2,P5,3000,Terrestre,8990336,336964,,Termitidae,Nasutitermitinae,Atlantitermes oculatissimus,,1,1Bb,MZUSP,,Em gravetos enterrados na serapilheira e na serapilheira,,,,,,,,,,,,,,
14/01/11,"Ilha de Búfalos, Jaci Paraná, Porto Velho, RO",2,IB,T2,P4,2000,Terrestre,8989521,336332,,Termitidae,Nasutitermitinae,Atlantitermes snyderi,,1,1Bd,MZUSP,,Forrageando na serapilheira,,,,,,,,,,,,,,
