País,Estado,Cidade,Localidade,Módulo.Grid,Trilha,Comp.Transecto,Numero.subparcelas,forma.coleta,Ano,Parcela,Transecto,Subparcela,Lado,Classe,Ordem,Família,Subfamília,Genero,Taxon,Condição,Frequencia,Grupo.trófico,Observacao.variedade,Observacao,Coletor1,Determinador,Coletor2,Determinador,CoordenadasNS,CoordenadasLW,CoordenadasNS
Brasil,Rondônia,Porto Velho,UHE_San_Antonio,M_J_Parana,T2,250m,2,Manual,2013,4000,,240,D,Insecta,Isptera,Termitidae,Syntermitinae,Embiratermes,Embiratermes_ignotus,,,,,,,,,,,,
Brasil,Rondônia,Porto Velho,UHE_San_Antonio,M_J_Parana,T2,250m,2,Manual,2013,4000,,240,D,Insecta,Isptera,Termitidae,Syntermitinae,Silvestritermes,Silvestritermes_holmgreni,,,,,,,,,,,,
Brasil,Rondônia,Porto Velho,UHE_San_Antonio,M_J_Parana,T2,250m,2,Manual,2013,500,,240,E,Insecta,Isptera,Termitidae,Syntermitinae,Syntermes,Syntermes_sp._2,,,,,,,,,,,,
Brasil,Rondônia,Porto Velho,UHE_San_Antonio,M_J_Parana,T2,250m,2,Manual,2013,500,,240,E,Insecta,Isptera,Termitidae,Syntermitinae,Labiotermes,Labiotermes_sp._1,,,,,,,,,,,,
Brasil,Rondônia,Porto Velho,UHE_San_Antonio,M_J_Parana,T2,250m,2,Manual,2013,2000,,240,E,Insecta,Isptera,Termitidae,Syntermitinae,Cornitermes,Cornitermes_ovatus,,,,,,,,,,,,
Brasil,Rondônia,Porto Velho,UHE_San_Antonio,M_J_Parana,T2,250m,2,Manual,2013,1000,,240,D,Insecta,Isptera,Termitidae,Syntermitinae,Cornitermes,Cornitermes_ovatus,,,,,,,,,,,,
Brasil,Rondônia,Porto Velho,UHE_San_Antonio,M_J_Parana,T2,250m,2,Manual,2013,500,,240,E,Insecta,Isptera,Termitidae,Syntermitinae,Cornitermes,Cornitermes_ovatus,,,,,,,,,,,,
Brasil,Rondônia,Porto Velho,UHE_San_Antonio,M_J_Parana,T2,250m,2,Manual,2013,0,,240,D,Insecta,Isptera,Termitidae,Syntermitinae,Cornitermes,Cornitermes_ovatus,,,,,,,,,,,,
Brasil,Rondônia,Porto Velho,UHE_San_Antonio,M_J_Parana,T2,250m,2,Manual,2013,0,,240,D,Insecta,Isptera,Termitidae,Syntermitinae,Cornitermes,Cornitermes_sp._1,,,,,,,,,,,,
Brasil,Rondônia,Porto Velho,UHE_San_Antonio,M_J_Parana,T2,250m,2,Manual,2013,0,,240,D,Insecta,Isptera,Termitidae,Termitinae,Planicapritermes,Planicapritermes_planiceps,,,,,,,,,,,,
