data,Município,Campanha,Módulo,Transecto,Parcela,Ponto,Tipo de Parcela,Coordenadas UTM (X),Coordenadas UTM (Y),Ordem,Família,Subfamília,Espécie,Tipo Amostragem,Núm. Ind. (Colônias/Encontros),Núm.ID (campo),Instituição para Tombamento,Tombo,OBS
24/01/2013,"Três Praias, Jaci Paraná, Porto Velho, RO",9,JP,T2,P4,2050,Terrestre,8954964,348933,Isoptera,Termitidae,Apicotermitinae,Ruptitermes sp. 6,,1,,INPA,,
19/01/2013,"Ilha das Pedras, Jaci Paraná, Porto Velho, RO",9,IP,T2,P5,3000,Terrestre,8990336,336964,Isoptera,Termitidae,Apicotermitinae,Ruptitermes sp. 6,,1,,INPA,,
25/01/2013,"Três Praias, Jaci Paraná, Porto Velho, RO",9,JP,T2,P1,0,Terrestre,8954694,346904,Isoptera,Termitidae,Apicotermitinae,Ruptitermes sp. 13,,1,,INPA,,
25/01/2013,"Novo Módulo Jaci, Nova Mutum Paraná, Porto Velho, RO",9,NM,T3,P2,500,Terrestre,,,Isoptera,Termitidae,Apicotermitinae,Ruptitermes sp. 13,,1,,INPA,,
26/01/2013,"Novo Módulo Jaci, Nova Mutum Paraná, Porto Velho, RO",9,NM,T3,P5,3000,Terrestre,8960128,345726,Isoptera,Termitidae,Apicotermitinae,Ruptitermes sp. 13,,1,,INPA,,
26/01/2013,"Novo Módulo Jaci, Nova Mutum Paraná, Porto Velho, RO",9,NM,T3,P6,4000,Terrestre,8959933,344748,Isoptera,Termitidae,Apicotermitinae,Ruptitermes sp. 13,,1,,INPA,,
24/01/2013,"Três Praias, Jaci Paraná, Porto Velho, RO",9,JP,T2,P3,1050,Terrestre,8954868,347940,Isoptera,Termitidae,Apicotermitinae,Ruptitermes sp. 14,,1,,INPA,,
26/01/2013,"Novo Módulo Jaci, Nova Mutum Paraná, Porto Velho, RO",9,NM,T3,P5,3000,Terrestre,8960128,345726,Isoptera,Termitidae,Apicotermitinae,Ruptitermes sp. 14,,1,,INPA,,
25/01/2013,"Novo Módulo Jaci, Nova Mutum Paraná, Porto Velho, RO",9,NM,T3,P1,0,Terrestre,8960718,348667,Isoptera,Termitidae,Apicotermitinae,Ruptitermes sp. 14,,1,,INPA,,
25/01/2013,"Três Praias, Jaci Paraná, Porto Velho, RO",9,JP,T3,P2,490,Terrestre,8954804,347396,Isoptera,Termitidae,Apicotermitinae,Ruptitermes sp. 14,,1,,INPA,,
24/01/2013,"Três Praias, Jaci Paraná, Porto Velho, RO",9,JP,T2,P6,4100,Terrestre,8955206,350943,Isoptera,Termitidae,Apicotermitinae,Aparatermes sp. 13,,1,,INPA,,
26/01/2013,"Novo Módulo Jaci, Nova Mutum Paraná, Porto Velho, RO",9,NM,T3,P5,3000,Terrestre,8960128,345726,Isoptera,Termitidae,Apicotermitinae,Aparatermes sp. 13,,1,,INPA,,
24/01/2013,"Três Praias, Jaci Paraná, Porto Velho, RO",9,JP,T2,P5,3000,Terrestre,8955078,349875,Isoptera,Termitidae,Apicotermitinae,Aparatermes sp. 8,,1,,INPA,,
25/01/2013,"Três Praias, Jaci Paraná, Porto Velho, RO",9,JP,T2,P1,0,Terrestre,8954694,346904,Isoptera,Termitidae,Apicotermitinae,Aparatermes sp. 8,,1,,INPA,,
24/01/2013,"Três Praias, Jaci Paraná, Porto Velho, RO",9,JP,T2,P5,3000,Terrestre,8955078,349875,Isoptera,Termitidae,Apicotermitinae,Ruptitermes arboreus,,1,,INPA,,
