,Data,Municipio ,Campanha,Modulo,Transecto,Parcela,Ponto,Tipo_de_Parcela,Coordenadas_UTM_(X),Coordenadas_UTM_(Y),Ordem,Familia,Subfamilia,Especie,Tipo_Amostragem,Num._Ind._(Colonias/Encontros),Num._ID_(campo),Instituicao_para_Tombamento,Tombo,OBS,,,,,
11,9/9/2011,"""Tr�s Praias, Jaci Paran�, Porto Velho, RO""",5,JP,T2,P4,2000,Terrestre,8954964,348933,,Rhinotermitidae,Coptotermitinae,Coptotermes testaceus,,1,2Aa,MZUSP,,#Interior de tronco ca�do,,,,,
12,6/3/2012,"""Tr�s Praias, Jaci Paran�, Porto Velho, RO""",7,JP,T2,P4,2000,Terrestre,8954964,348933,,Rhinotermitidae,Coptotermitinae,Coptotermes testaceus,,1,2Ba,MZUSP,,#Solo,,,,,
13,12/1/2011,"""Tr�s Praias, Jaci Paran�, Porto Velho, RO""",2,JP,T2,P6,4000,Terrestre,8955206,350943,,Rhinotermitidae,Coptotermitinae,Coptotermes testaceus,,1,3Aa,MZUSP,,#Dentro de tronco ca�do,,,,,
14,10/3/2012,"""Teot�nio, Porto Velho, RO""",7,TE,T2,P5,3000,Terrestre,9024570,380983,,Rhinotermitidae,Coptotermitinae,Coptotermes testaceus,,1,4Aa,MZUSP,,#Interior de tronco,,,,,
15,2/4/2011,"""Ilha de B�falos, Jaci Paran�, Porto Velho, RO""",3,IB,T2,P1,0,Terrestre,8988015,334967,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes latilabrum,,1,3Aa,MZUSP,,#Em tronco ca�do,,,,,
16,1/4/2011,"""Ilha de B�falos, Jaci Paran�, Porto Velho, RO""",3,IB,T2,P3,1000,Terrestre,8988753,335582,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes latilabrum,,1,2Ba,MZUSP,,#No solo,,,,,
17,1/3/2012,"""Ilha de B�falos, Jaci Paran�, Porto Velho, RO""",7,IB,T2,P3,1000,Terrestre,8988753,335582,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes latilabrum,,1,4Ac,MZUSP,,#Interior de tronco,,,,,
18,13/09/2010,"""Ilha de B�falos, Jaci Paran�, Porto Velho, RO""",1,IB,T1,P3*,1000,Terrestre,8989318,334775,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes latilabrum,,1,1Ab,MZUSP,,#Forrageando no solo,,,,,
19,1/3/2012,"""Ilha de B�falos, Jaci Paran�, Porto Velho, RO""",7,IB,T2,P4,2000,Terrestre,8989521,336332,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes latilabrum,,1,4Ab,MZUSP,,#Base de tronco morto em p�, e em galerias no troco. Heterotermes e Dolichorhino em folha de palmeira,,,,
20,1/3/2012,"""Ilha de B�falos, Jaci Paran�, Porto Velho, RO""",7,IB,T2,P5,3000,Terrestre,8990336,336964,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes latilabrum,,1,2Aa,MZUSP,,#Interior de graveto,,,,,
21,10/6/2011,"""Ilha das Pedras, Jaci Paran�, Porto Velho, RO""",4,IP,T2,P3,1000,Terrestre,8985957,322373,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes latilabrum,,1,2Ab,MZUSP,,#Interior de galho morto.,,,,,
22,12/4/2011,"""Jirau, Nova Mutum Paran�, Porto Velho, RO""",3,JI,T2,P1,0,Terrestre,8970098,3111182,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes latilabrum,,1,3Bb,MZUSP,,#No tronco de �rvore,,,,,
23,4/6/2011,"""Jirau, Nova Mutum Paran�, Porto Velho, RO""",4,JI,T2,P2,500,Terrestre,8970473,310831,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes latilabrum,,1,2Aa,MZUSP,,#Tronco morto podre no solo.,,,,,
24,4/6/2011,"""Jirau, Nova Mutum Paran�, Porto Velho, RO""",4,JI,T2,P2,500,Terrestre,8970473,310831,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes latilabrum,,1,4Ba,MZUSP,,#Folha morta de palmeira.,,,,,
25,10/1/2011,"""Jirau, Nova Mutum Paran�, Porto Velho, RO""",2,JI,T2,P3,1000,Terrestre,8970820,310485,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes latilabrum,,1,1Ba,MZUSP,,#Em tronco ca�do e em solo logo abaixo,,,,,
26,11/4/2011,"""Jirau, Nova Mutum Paran�, Porto Velho, RO""",3,JI,T2,P4,2000,Terrestre,8971554,309787,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes latilabrum,,1,2Ab,MZUSP,,#Em tronco ca�do,,,,,
27,11/4/2011,"""Jirau, Nova Mutum Paran�, Porto Velho, RO""",3,JI,T2,P4,2000,Terrestre,8971554,309787,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes latilabrum,,1,4Ca,MZUSP,,#Em madeira ca�da,,,,,
28,9/1/2011,"""Jirau, Nova Mutum Paran�, Porto Velho, RO""",2,JI,T2,P5,3000,Terrestre,8972272,309067,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes latilabrum,,1,1Ca,MZUSP,,#Em tronco ca�do,,,,,
29,11/4/2011,"""Jirau, Nova Mutum Paran�, Porto Velho, RO""",3,JI,T2,P5,3000,Terrestre,8972272,309067,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes latilabrum,,1,2Bc,MZUSP,,#Em tronco,,,,,
30,3/6/2011,"""Jirau, Nova Mutum Paran�, Porto Velho, RO""",4,JI,T2,P5,3000,Terrestre,8972272,309067,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes latilabrum,,1,1Ca,MZUSP,,#Galho podre com galerias na parte interna.,,,,,
31,7/3/2012,"""Tr�s Praias, Jaci Paran�, Porto Velho, RO""",7,JP,T2,P1,0,Terrestre,8954694,346904,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes latilabrum,,1,3Ca,MZUSP,,#Solo,,,,,
32,7/6/2012,"""Tr�s Praias, Jaci Paran�, Porto Velho, RO""",8,JP,T2,P1,0,Terrestre,8954694,346904,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes latilabrum,,1,3Bb,MZUSP,,#Interior de tronco grande ca�do,,,,,
33,14/06/2011,"""Tr�s Praias, Jaci Paran�, Porto Velho, RO""",4,JP,T2,P3,1000,Terrestre,8954868,347940,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes latilabrum,,1,2Aa,MZUSP,,#Haste de folha de palmeira morta.,,,,,
