,Data,Municipio,Campanha,Modulo,Transecto,Parcela,Ponto,Tipo_de_Parcela,Coordenadas_UTM_.X.,Coordenadas_UTM_.Y.,Ordem,Familia,Subfamilia,Especie,Tipo_Amostragem,Num._Ind._.Colonias.Encontros.,Num._ID_.campo.,Instituicao_para_Tombamento,Tombo,OBS,X.1,X.2,X.3,X.4,X.5,Especie_orig
21,10/6/2011,"""Ilha das Pedras, Jaci Paran�, Porto Velho, RO""",4,IP,T2,P3,1000,Terrestre,8985957,322373,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes_latilabrum,NA,1,2Ab,MZUSP,,#Interior de galho morto.,,,,,,Dolichorhinotermes latilabrum
22,12/4/2011,"""Jirau, Nova Mutum Paran�, Porto Velho, RO""",3,JI,T2,P1,0,Terrestre,8970098,3111182,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes_latilabrum,NA,1,3Bb,MZUSP,,#No tronco de �rvore,,,,,,Dolichorhinotermes latilabrum
23,4/6/2011,"""Jirau, Nova Mutum Paran�, Porto Velho, RO""",4,JI,T2,P2,500,Terrestre,8970473,310831,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes_latilabrum,NA,1,2Aa,MZUSP,,#Tronco morto podre no solo.,,,,,,Dolichorhinotermes latilabrum
24,4/6/2011,"""Jirau, Nova Mutum Paran�, Porto Velho, RO""",4,JI,T2,P2,500,Terrestre,8970473,310831,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes_latilabrum,NA,1,4Ba,MZUSP,,#Folha morta de palmeira.,,,,,,Dolichorhinotermes latilabrum
25,10/1/2011,"""Jirau, Nova Mutum Paran�, Porto Velho, RO""",2,JI,T2,P3,1000,Terrestre,8970820,310485,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes_latilabrum,NA,1,1Ba,MZUSP,,#Em tronco ca�do e em solo logo abaixo,,,,,,Dolichorhinotermes latilabrum
26,11/4/2011,"""Jirau, Nova Mutum Paran�, Porto Velho, RO""",3,JI,T2,P4,2000,Terrestre,8971554,309787,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes_latilabrum,NA,1,2Ab,MZUSP,,#Em tronco ca�do,,,,,,Dolichorhinotermes latilabrum
27,11/4/2011,"""Jirau, Nova Mutum Paran�, Porto Velho, RO""",3,JI,T2,P4,2000,Terrestre,8971554,309787,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes_latilabrum,NA,1,4Ca,MZUSP,,#Em madeira ca�da,,,,,,Dolichorhinotermes latilabrum
28,9/1/2011,"""Jirau, Nova Mutum Paran�, Porto Velho, RO""",2,JI,T2,P5,3000,Terrestre,8972272,309067,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes_latilabrum,NA,1,1Ca,MZUSP,,#Em tronco ca�do,,,,,,Dolichorhinotermes latilabrum
29,11/4/2011,"""Jirau, Nova Mutum Paran�, Porto Velho, RO""",3,JI,T2,P5,3000,Terrestre,8972272,309067,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes_latilabrum,NA,1,2Bc,MZUSP,,#Em tronco,,,,,,Dolichorhinotermes latilabrum
30,3/6/2011,"""Jirau, Nova Mutum Paran�, Porto Velho, RO""",4,JI,T2,P5,3000,Terrestre,8972272,309067,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes_latilabrum,NA,1,1Ca,MZUSP,,#Galho podre com galerias na parte interna.,,,,,,Dolichorhinotermes latilabrum
31,7/3/2012,"""Tr�s Praias, Jaci Paran�, Porto Velho, RO""",7,JP,T2,P1,0,Terrestre,8954694,346904,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes_latilabrum,NA,1,3Ca,MZUSP,,#Solo,,,,,,Dolichorhinotermes latilabrum
32,7/6/2012,"""Tr�s Praias, Jaci Paran�, Porto Velho, RO""",8,JP,T2,P1,0,Terrestre,8954694,346904,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes_latilabrum,NA,1,3Bb,MZUSP,,#Interior de tronco grande ca�do,,,,,,Dolichorhinotermes latilabrum
33,14/06/2011,"""Tr�s Praias, Jaci Paran�, Porto Velho, RO""",4,JP,T2,P3,1000,Terrestre,8954868,347940,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes_latilabrum,NA,1,2Aa,MZUSP,,#Haste de folha de palmeira morta.,,,,,,Dolichorhinotermes latilabrum
34,24/11/2011,"""Tr�s Praias, Jaci Paran�, Porto Velho, RO""",6,JP,T2,P3,1000,Terrestre,8954868,347940,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes_latilabrum,NA,1,4Ab,MZUSP,,#Interior de tronco podre,,,,,,Dolichorhinotermes latilabrum
35,6/3/2012,"""Tr�s Praias, Jaci Paran�, Porto Velho, RO""",7,JP,T2,P4,2000,Terrestre,8954964,348933,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes_latilabrum,NA,1,3Aa,MZUSP,,#Interior de tronco (Dolichorhino),,,,,,Dolichorhinotermes latilabrum
36,20/09/2010,"""Tr�s Praias, Jaci Paran�, Porto Velho, RO""",1,JP,T2,P5,3000,Terrestre,8955078,349875,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes_latilabrum,NA,1,3Ab,MZUSP,,#Dentro de tronco ca�do,,,,,,Dolichorhinotermes latilabrum
37,7/1/2011,"""Morrinhos, Jaci Paran�, Porto Velho, Rond�nia""",2,MO,T1,P3,1000,Terrestre,9001745,362372,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes_latilabrum,NA,1,1Ba,MZUSP,,#Em tronco ca�do e forrageando no solo proximo a ra�z de palmeira e tronco ca�do,,,,,,Dolichorhinotermes latilabrum
38,8/1/2011,"""Morrinhos, Jaci Paran�, Porto Velho, Rond�nia""",2,MO,T1,P5,3000,Terrestre,8999736,362810,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes_latilabrum,NA,1,2Ab,MZUSP,,#Em galhinho ca�do no ch�o,,,,,,Dolichorhinotermes latilabrum
39,22/09/2010,"""Teot�nio, Porto Velho, RO""",1,TE,T2,P2,500,Terrestre,9022865,382824,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes_latilabrum,NA,1,4Ab,MZUSP,,#Forrageando no solo,,,,,,Dolichorhinotermes latilabrum
40,6/4/2011,"""Teot�nio, Porto Velho, RO""",3,TE,T2,P2,500,Terrestre,9022865,382824,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes_latilabrum,NA,1,1Ab,MZUSP,,#Em tronco,,,,,,Dolichorhinotermes latilabrum
41,1/6/2011,"""Teot�nio, Porto Velho, RO""",4,TE,T2,P2,500,Terrestre,9022865,382824,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes_latilabrum,NA,1,3Cb,MZUSP,,#Em tronco morto e bem carcomido, parcialmente com terra dentro.,,,,,Dolichorhinotermes latilabrum
42,22/09/2010,"""Teot�nio, Porto Velho, RO""",1,TE,T2,P3,1000,Terrestre,9023187,382471,,Rhinotermitidae,Rhinotermitinae,Dolichorhinotermes_latilabrum,NA,1,3Aa,MZUSP,,#Dentro de gravetos,,,,,,Dolichorhinotermes latilabrum
